"cov","out","hour","data_type","lwr","pe","upr"
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",21,"Effect of a one time 2 article increase at hour 0",0.0548482380148922,0.0714653188480008,0.0909661315058174
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",21,"Effect of a structural 2 article point attention increase at hour 0",0.178966373078907,0.255102221980445,0.340914681785571
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",22,"Effect of a one time 2 article increase at hour 0",0.0593093560604838,0.0765796921301418,0.096574285080129
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",22,"Effect of a structural 2 article point attention increase at hour 0",0.204804153228937,0.283393799602479,0.372559006739312
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",23,"Effect of a one time 2 article increase at hour 0",0.0548609600939529,0.0740624884428902,0.0946038889456176
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",23,"Effect of a structural 2 article point attention increase at hour 0",0.221228834977893,0.303644611515349,0.39597216264913
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",24,"Effect of a one time 2 article increase at hour 0",0.0593804899272072,0.0781895181203771,0.0978543426985696
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",24,"Effect of a structural 2 article point attention increase at hour 0",0.238869712828189,0.323949120459443,0.417892646797679
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",25,"Effect of a one time 2 article increase at hour 0",0.0554300060728805,0.0766343570093126,0.096466656191752
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",25,"Effect of a structural 2 article point attention increase at hour 0",0.249216777821267,0.338750367374956,0.434030339242057
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",26,"Effect of a one time 2 article increase at hour 0",0.0620391191509218,0.0829157262371663,0.103333473087182
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",26,"Effect of a structural 2 article point attention increase at hour 0",0.264331387415158,0.357059673731002,0.453859049770889
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",27,"Effect of a one time 2 article increase at hour 0",0.0632279972148679,0.0839815129617565,0.104602566657385
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",27,"Effect of a structural 2 article point attention increase at hour 0",0.277862490415308,0.372932434201952,0.471022701236927
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",28,"Effect of a one time 2 article increase at hour 0",0.0689855461650908,0.0898212698636434,0.110629147880597
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",28,"Effect of a structural 2 article point attention increase at hour 0",0.294336935121713,0.391259430135328,0.490446533408816
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",29,"Effect of a one time 2 article increase at hour 0",0.0692887393546218,0.0900279103222943,0.111241968687157
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",29,"Effect of a structural 2 article point attention increase at hour 0",0.3079704582564,0.406104810096223,0.506401679768361
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",30,"Effect of a one time 2 article increase at hour 0",0.0696461723298412,0.0912086268971619,0.111846697654651
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",30,"Effect of a structural 2 article point attention increase at hour 0",0.319229369694181,0.41898635307612,0.519445397810877
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",31,"Effect of a one time 2 article increase at hour 0",0.0710368042011411,0.0933889834579673,0.113914185041846
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",31,"Effect of a structural 2 article point attention increase at hour 0",0.329568408247024,0.431264013099966,0.531565824013851
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",32,"Effect of a one time 2 article increase at hour 0",0.0730147574948705,0.0955046449863235,0.116088585239585
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",32,"Effect of a structural 2 article point attention increase at hour 0",0.339832753908432,0.443031341144146,0.543068473932686
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",33,"Effect of a one time 2 article increase at hour 0",0.075490818966405,0.0989902315724673,0.11994233740332
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",33,"Effect of a structural 2 article point attention increase at hour 0",0.350222428293113,0.455463752128818,0.555435918389176
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",34,"Effect of a one time 2 article increase at hour 0",0.0753983973749863,0.0988771038809417,0.119733620986557
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",34,"Effect of a structural 2 article point attention increase at hour 0",0.358292741332847,0.464998538663724,0.564623805036525
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",35,"Effect of a one time 2 article increase at hour 0",0.0773463107102346,0.10134406976868,0.123290888304148
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",35,"Effect of a structural 2 article point attention increase at hour 0",0.366434147734836,0.474636303102024,0.574809898228257
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",36,"Effect of a one time 2 article increase at hour 0",0.0788960403067034,0.103263357911914,0.12537944629742
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",36,"Effect of a structural 2 article point attention increase at hour 0",0.374192985014009,0.48380022316475,0.584370130798509
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",37,"Effect of a one time 2 article increase at hour 0",0.0803779779103277,0.105147003278928,0.127575016306645
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",37,"Effect of a structural 2 article point attention increase at hour 0",0.381428106403748,0.492373397221423,0.593360137743004
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",38,"Effect of a one time 2 article increase at hour 0",0.0816673424283783,0.106804192502677,0.129894528240247
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",38,"Effect of a structural 2 article point attention increase at hour 0",0.388035682307134,0.500244303468755,0.602020651840381
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",39,"Effect of a one time 2 article increase at hour 0",0.0812695150288141,0.106658826818542,0.129828185529669
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",39,"Effect of a structural 2 article point attention increase at hour 0",0.392653494351987,0.505915477640114,0.608196889247013
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",40,"Effect of a one time 2 article increase at hour 0",0.0846079933010047,0.110564586334883,0.133985723684066
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",40,"Effect of a structural 2 article point attention increase at hour 0",0.398958613497964,0.513466824537174,0.616228905475515
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",41,"Effect of a one time 2 article increase at hour 0",0.0845730757079175,0.110764147369647,0.134148977334761
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",41,"Effect of a structural 2 article point attention increase at hour 0",0.403446005650402,0.519004166747097,0.621916179536373
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",42,"Effect of a one time 2 article increase at hour 0",0.0875629133352702,0.114032662321826,0.137591032652485
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",42,"Effect of a structural 2 article point attention increase at hour 0",0.40916452252072,0.525665555384784,0.628669345021053
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",43,"Effect of a one time 2 article increase at hour 0",0.0897149121975021,0.116217470300472,0.14026478155585
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",43,"Effect of a structural 2 article point attention increase at hour 0",0.415069642605249,0.532198986665169,0.635579797682148
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",44,"Effect of a one time 2 article increase at hour 0",0.0903718891592997,0.117153000728242,0.141639084615103
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",44,"Effect of a structural 2 article point attention increase at hour 0",0.419699230410347,0.537426171684203,0.64136949371944
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",45,"Effect of a one time 2 article increase at hour 0",0.0915662143174456,0.11839087058118,0.142958782029161
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",45,"Effect of a structural 2 article point attention increase at hour 0",0.42377689717311,0.541841216061604,0.6461278944713
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",46,"Effect of a one time 2 article increase at hour 0",0.0934101451280158,0.120244587454747,0.145159946463509
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",46,"Effect of a structural 2 article point attention increase at hour 0",0.428037893167115,0.546195674291747,0.650947233246593
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",47,"Effect of a one time 2 article increase at hour 0",0.0949445579379413,0.122044920379737,0.147284126333151
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",47,"Effect of a structural 2 article point attention increase at hour 0",0.432023608380169,0.550315618509134,0.655583865256185
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",48,"Effect of a one time 2 article increase at hour 0",0.0943796665318861,0.122256611213988,0.148017838406457
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",48,"Effect of a structural 2 article point attention increase at hour 0",0.433892514132243,0.55288019261727,0.658913100935762
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",49,"Effect of a one time 2 article increase at hour 0",0.096046718150824,0.123878373360256,0.149791634653845
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",49,"Effect of a structural 2 article point attention increase at hour 0",0.436150011893414,0.555455879016786,0.662081136067304
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",50,"Effect of a one time 2 article increase at hour 0",0.0972362132000539,0.125532671044547,0.151545246631066
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",50,"Effect of a structural 2 article point attention increase at hour 0",0.438228814330418,0.55807811036974,0.66511755105656
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",51,"Effect of a one time 2 article increase at hour 0",0.0977738069057565,0.126157086519559,0.152345197872072
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",51,"Effect of a structural 2 article point attention increase at hour 0",0.439645096331421,0.559820248987617,0.667196059780312
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",52,"Effect of a one time 2 article increase at hour 0",0.0988292119513463,0.127705024964491,0.15413640550915
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",52,"Effect of a structural 2 article point attention increase at hour 0",0.440950145373964,0.561700221238921,0.66943883716329
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",53,"Effect of a one time 2 article increase at hour 0",0.0993338273858508,0.128214429594418,0.154783283114501
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",53,"Effect of a structural 2 article point attention increase at hour 0",0.441775014694428,0.562809597018928,0.67083267652935
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",54,"Effect of a one time 2 article increase at hour 0",0.101336981554628,0.130401073125139,0.156981680630585
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",54,"Effect of a structural 2 article point attention increase at hour 0",0.443565410575374,0.564828968376596,0.672951486338568
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",55,"Effect of a one time 2 article increase at hour 0",0.101471566353412,0.130879613092321,0.157677163607023
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",55,"Effect of a structural 2 article point attention increase at hour 0",0.44439404181842,0.566012808067153,0.674304635358299
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",56,"Effect of a one time 2 article increase at hour 0",0.102936214607091,0.132514217257543,0.159493934730468
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",56,"Effect of a structural 2 article point attention increase at hour 0",0.44565371714561,0.567560958525593,0.676057773699194
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",57,"Effect of a one time 2 article increase at hour 0",0.103390072383967,0.13331743539597,0.160502331849025
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",57,"Effect of a structural 2 article point attention increase at hour 0",0.446359386511478,0.568680093508748,0.677426177281552
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",58,"Effect of a one time 2 article increase at hour 0",0.104253234492974,0.134253687936527,0.161541165187187
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",58,"Effect of a structural 2 article point attention increase at hour 0",0.447037486315,0.569602675980406,0.678544682608055
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",59,"Effect of a one time 2 article increase at hour 0",0.104977750856381,0.135317559178934,0.162772165414144
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",59,"Effect of a structural 2 article point attention increase at hour 0",0.447525332868382,0.570465894912669,0.679620241597453
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",60,"Effect of a one time 2 article increase at hour 0",0.105174148456674,0.13588347044754,0.163458532475129
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",60,"Effect of a structural 2 article point attention increase at hour 0",0.447417797885066,0.570877717107749,0.680216752167321
"Frankfurter
Allgemeine Zeitung","
Stern",1,"Effect of a one time 2 article increase at hour 0",-0.00106562824861456,0.00257520161422331,0.00614369892935174
"Frankfurter
Allgemeine Zeitung","
Stern",1,"Effect of a structural 2 article point attention increase at hour 0",-0.00106562824861456,0.00257520161422331,0.00614369892935174
"Frankfurter
Allgemeine Zeitung","
Stern",2,"Effect of a one time 2 article increase at hour 0",-0.00554918026597628,-0.000635244982853722,0.00431867207827019
"Frankfurter
Allgemeine Zeitung","
Stern",2,"Effect of a structural 2 article point attention increase at hour 0",-0.00642377228515196,0.0014782976925551,0.00936098402787834
"Frankfurter
Allgemeine Zeitung","
Stern",3,"Effect of a one time 2 article increase at hour 0",-0.00635279046304049,0.000819857161632243,0.00678774601304299
"Frankfurter
Allgemeine Zeitung","
Stern",3,"Effect of a structural 2 article point attention increase at hour 0",-0.011616875275185,0.00201358509573522,0.0144239272069994
"Frankfurter
Allgemeine Zeitung","
Stern",4,"Effect of a one time 2 article increase at hour 0",-0.00664293214989908,0.00224513202144849,0.0101834277639421
"Frankfurter
Allgemeine Zeitung","
Stern",4,"Effect of a structural 2 article point attention increase at hour 0",-0.0161287582332723,0.00388723043820914,0.0219521913095102
"Frankfurter
Allgemeine Zeitung","
Stern",5,"Effect of a one time 2 article increase at hour 0",0.00591273366384759,0.0152813816235422,0.0233790697545475
"Frankfurter
Allgemeine Zeitung","
Stern",5,"Effect of a structural 2 article point attention increase at hour 0",-0.00723461992507267,0.0184482559902025,0.0412684079357458
"Frankfurter
Allgemeine Zeitung","
Stern",6,"Effect of a one time 2 article increase at hour 0",0.0077461379684276,0.0170431015900359,0.0279886134408545
"Frankfurter
Allgemeine Zeitung","
Stern",6,"Effect of a structural 2 article point attention increase at hour 0",0.00194840637098734,0.0321521201165143,0.0616693483148875
"Frankfurter
Allgemeine Zeitung","
Stern",7,"Effect of a one time 2 article increase at hour 0",0.0170394931185485,0.0259076578035244,0.037977659866544
"Frankfurter
Allgemeine Zeitung","
Stern",7,"Effect of a structural 2 article point attention increase at hour 0",0.0187292571503403,0.0521364612519479,0.0882077578066096
"Frankfurter
Allgemeine Zeitung","
Stern",8,"Effect of a one time 2 article increase at hour 0",0.0177872431435524,0.0283554885019137,0.0399343650792521
"Frankfurter
Allgemeine Zeitung","
Stern",8,"Effect of a structural 2 article point attention increase at hour 0",0.0332241716543759,0.0708864626428357,0.11175603279562
"Frankfurter
Allgemeine Zeitung","
Stern",9,"Effect of a one time 2 article increase at hour 0",0.022579188208089,0.0324340274091681,0.044651751439819
"Frankfurter
Allgemeine Zeitung","
Stern",9,"Effect of a structural 2 article point attention increase at hour 0",0.0497778987951528,0.090170573945979,0.135552706090047
"Frankfurter
Allgemeine Zeitung","
Stern",10,"Effect of a one time 2 article increase at hour 0",0.0253200693283577,0.0360406482916273,0.0486579228097117
"Frankfurter
Allgemeine Zeitung","
Stern",10,"Effect of a structural 2 article point attention increase at hour 0",0.0659726969052212,0.10940719536239,0.158821201151332
"Frankfurter
Allgemeine Zeitung","
Stern",11,"Effect of a one time 2 article increase at hour 0",0.0298946946267387,0.0416506755762982,0.0528013802308651
"Frankfurter
Allgemeine Zeitung","
Stern",11,"Effect of a structural 2 article point attention increase at hour 0",0.0836017933952517,0.130532877534991,0.181728960644428
"Frankfurter
Allgemeine Zeitung","
Stern",12,"Effect of a one time 2 article increase at hour 0",0.0308043045962298,0.0431927013268831,0.0555717207453701
"Frankfurter
Allgemeine Zeitung","
Stern",12,"Effect of a structural 2 article point attention increase at hour 0",0.0987514492309825,0.149170707582138,0.203023870579724
"Frankfurter
Allgemeine Zeitung","
Stern",13,"Effect of a one time 2 article increase at hour 0",0.0333205940101802,0.0476723952591598,0.0608727554646404
"Frankfurter
Allgemeine Zeitung","
Stern",13,"Effect of a structural 2 article point attention increase at hour 0",0.113466206574995,0.168688614741001,0.225505860108034
"Frankfurter
Allgemeine Zeitung","
Stern",14,"Effect of a one time 2 article increase at hour 0",0.0425544312930832,0.0572616791155856,0.0691315549966336
"Frankfurter
Allgemeine Zeitung","
Stern",14,"Effect of a structural 2 article point attention increase at hour 0",0.134559018367883,0.194052548106427,0.251953805342782
"Frankfurter
Allgemeine Zeitung","
Stern",15,"Effect of a one time 2 article increase at hour 0",0.0486046221462357,0.0632424593786383,0.0768793626700124
"Frankfurter
Allgemeine Zeitung","
Stern",15,"Effect of a structural 2 article point attention increase at hour 0",0.157754577598662,0.220612543833047,0.28112342609384
"Frankfurter
Allgemeine Zeitung","
Stern",16,"Effect of a one time 2 article increase at hour 0",0.0528359646020915,0.0669876845051305,0.0805315414057937
"Frankfurter
Allgemeine Zeitung","
Stern",16,"Effect of a structural 2 article point attention increase at hour 0",0.180902095722963,0.245966398160725,0.308468098719223
"Frankfurter
Allgemeine Zeitung","
Stern",17,"Effect of a one time 2 article increase at hour 0",0.0408247676765177,0.0559221063591069,0.0696230435046279
"Frankfurter
Allgemeine Zeitung","
Stern",17,"Effect of a structural 2 article point attention increase at hour 0",0.187709435780463,0.255405550397535,0.319634909938631
"Frankfurter
Allgemeine Zeitung","
Stern",18,"Effect of a one time 2 article increase at hour 0",0.0442388772309348,0.0591173602495432,0.0755461138230018
"Frankfurter
Allgemeine Zeitung","
Stern",18,"Effect of a structural 2 article point attention increase at hour 0",0.19658600388757,0.266129567625078,0.334441447153588
"Frankfurter
Allgemeine Zeitung","
Stern",19,"Effect of a one time 2 article increase at hour 0",0.0577521481451555,0.0735255014685809,0.0905959387873725
"Frankfurter
Allgemeine Zeitung","
Stern",19,"Effect of a structural 2 article point attention increase at hour 0",0.217188011040859,0.289047486903217,0.361267932229404
"Frankfurter
Allgemeine Zeitung","
Stern",20,"Effect of a one time 2 article increase at hour 0",0.056732434458282,0.0720506958644782,0.0886225817214654
"Frankfurter
Allgemeine Zeitung","
Stern",20,"Effect of a structural 2 article point attention increase at hour 0",0.23285173597765,0.306059529045856,0.380880631933303
"Frankfurter
Allgemeine Zeitung","
Stern",21,"Effect of a one time 2 article increase at hour 0",0.057424236003879,0.0725655971989769,0.0884212616901991
"Frankfurter
Allgemeine Zeitung","
Stern",21,"Effect of a structural 2 article point attention increase at hour 0",0.245968179306433,0.320056372836523,0.39620271243759
"Frankfurter
Allgemeine Zeitung","
Stern",22,"Effect of a one time 2 article increase at hour 0",0.0629131372938534,0.0790990004863559,0.0972451566020256
"Frankfurter
Allgemeine Zeitung","
Stern",22,"Effect of a structural 2 article point attention increase at hour 0",0.261961853593617,0.337759947394181,0.417165288040325
"Frankfurter
Allgemeine Zeitung","
Stern",23,"Effect of a one time 2 article increase at hour 0",0.0721787977352073,0.0879583934077923,0.106204328113989
"Frankfurter
Allgemeine Zeitung","
Stern",23,"Effect of a structural 2 article point attention increase at hour 0",0.284049752819474,0.3607854749725,0.442886452274829
"Frankfurter
Allgemeine Zeitung","
Stern",24,"Effect of a one time 2 article increase at hour 0",0.0739496692803023,0.0900142496255429,0.110059327790524
"Frankfurter
Allgemeine Zeitung","
Stern",24,"Effect of a structural 2 article point attention increase at hour 0",0.30369450190598,0.381408679685825,0.467416166602128
"Frankfurter
Allgemeine Zeitung","
Stern",25,"Effect of a one time 2 article increase at hour 0",0.068459035010586,0.0872950409317239,0.106009742711178
"Frankfurter
Allgemeine Zeitung","
Stern",25,"Effect of a structural 2 article point attention increase at hour 0",0.313910165842604,0.395111667148555,0.482867400720821
"Frankfurter
Allgemeine Zeitung","
Stern",26,"Effect of a one time 2 article increase at hour 0",0.0696270312555913,0.0889728746134353,0.106716618534981
"Frankfurter
Allgemeine Zeitung","
Stern",26,"Effect of a structural 2 article point attention increase at hour 0",0.32314636017246,0.407601458151794,0.495708009757241
"Frankfurter
Allgemeine Zeitung","
Stern",27,"Effect of a one time 2 article increase at hour 0",0.0698573977195831,0.0890785696567227,0.107288866440912
"Frankfurter
Allgemeine Zeitung","
Stern",27,"Effect of a structural 2 article point attention increase at hour 0",0.330721864357698,0.417540654774089,0.506280117608813
"Frankfurter
Allgemeine Zeitung","
Stern",28,"Effect of a one time 2 article increase at hour 0",0.0710252113763012,0.0901906872723754,0.108158588664918
"Frankfurter
Allgemeine Zeitung","
Stern",28,"Effect of a structural 2 article point attention increase at hour 0",0.337666118212799,0.426201040571519,0.515060506009219
"Frankfurter
Allgemeine Zeitung","
Stern",29,"Effect of a one time 2 article increase at hour 0",0.0737827275092264,0.0932180316095024,0.110979573860901
"Frankfurter
Allgemeine Zeitung","
Stern",29,"Effect of a structural 2 article point attention increase at hour 0",0.345674096752921,0.435665106091029,0.524238923634202
"Frankfurter
Allgemeine Zeitung","
Stern",30,"Effect of a one time 2 article increase at hour 0",0.0717187375134836,0.0917475272961958,0.110139445181815
"Frankfurter
Allgemeine Zeitung","
Stern",30,"Effect of a structural 2 article point attention increase at hour 0",0.349794208876209,0.441389351349468,0.530193233644515
"Frankfurter
Allgemeine Zeitung","
Stern",31,"Effect of a one time 2 article increase at hour 0",0.0722040992479189,0.0920354429264842,0.110042253477439
